word,freq
차량,17.82
시스템,17.72
파일,11.46
기능,11.26
경우,10.7
안전,8.8
설정,7.56
경보,7.56
작업,6.48
자동차,6.38
메일,6.34
정보,6.3
주행,6.14
옵션,6.1
이상,5.78
상태,5.74
시간,5.7
블랙박스,5.64
운전자,5.64
때문,5.58
대한,5.54
문제,5.38
사각,5.18
장착,5.12
다른,5.0
부분,4.96
위해,4.82
기술,4.82
사람,4.78
지대,4.76
영상,4.7
사용자,4.7
주차,4.48
카메라,4.42
다음,4.42
운전,4.4
모델,4.36
화재,4.32
사고,4.3
모든,4.28
미러,4.28
사용,4.26
피난,4.24
센서,4.16
장치,4.1
가장,4.08
통해,4.06
차선,4.02
정도,3.98
관리,3.98
자동,3.98
설치,3.88
또한,3.88
실행,3.88
서버,3.86
공간,3.84
제품,3.78
후방,3.68
상황,3.68
프로그램,3.56
백현,3.56
기준,3.54
순정,3.54
디렉토리,3.5
시트,3.48
디자인,3.42
명령어,3.36
변경,3.36
모드,3.36
프로세스,3.28
모두,3.28
가격,3.22
하나,3.14
전방,3.1
출력,3.06
레이더,3.04
방식,3.0
스마트,2.98
사이드,2.94
기본,2.9
녹화,2.9
거리,2.88
속도,2.88
방향,2.86
현재,2.86
생각,2.86
저장,2.8
작동,2.76
엔진,2.76
처리,2.76
버튼,2.72
일반,2.72
우리,2.7
데이터,2.66
설명,2.58
가지,2.58
성능,2.52
스위치,2.5
바로,2.46
경고,2.44
지정,2.44
도로,2.42
감지,2.42
명령,2.42
이탈,2.38
에서,2.36
위치,2.34
확인,2.34
발생,2.3
다시,2.3
디스크,2.28
더욱,2.28
지원,2.26
실내,2.24
단계,2.22
제어,2.2
방법,2.2
결과,2.2
성과,2.2
세대,2.18
적용,2.16
역시,2.16
배터리,2.16
시설,2.14
사진,2.12
느낌,2.12
이제,2.12
볼보,2.1
위험,2.1
대해,2.08
해당,2.06
국내,2.06
브레이크,2.06
점검,2.04
대피,2.04
패키지,2.02
내용,2.0
구조,2.0
미국,2.0
여러,2.0
서비스,1.98
계정,1.96
탑재,1.96
전체,1.96
보조,1.94
정말,1.94
기존,1.94
가능,1.9
지금,1.88
메모리,1.88
시공,1.88
건물,1.88
신형,1.88
화면,1.86
범위,1.86
배선,1.86
아이나비,1.86
추가,1.86
지역,1.86
최대,1.84
동작,1.84
이번,1.82
모습,1.8
이름,1.8
개발,1.8
사실,1.78
환경,1.78
장비,1.78
실제,1.78
타입,1.76
센터,1.76
주택,1.74
피해,1.74
관련,1.74
측방,1.72
운행,1.7
공동,1.7
램프,1.7
확보,1.68
기록,1.68
필요,1.68
주소,1.66
한번,1.66
자신,1.66
보고,1.66
중고차,1.64
보기,1.64
만원,1.64
트렁크,1.62
변수,1.62
물론,1.62
통신,1.62
전송,1.6
교체,1.6
조절,1.6
최근,1.6
오늘,1.58
라인,1.58
수준,1.56
내부,1.56
여부,1.56
컴퓨터,1.56
충돌,1.54
핸들,1.54
먼저,1.54
주변,1.54
건축물,1.52
리눅스,1.52
기구,1.5
동시,1.5
조작,1.5
방지,1.48
표시,1.46
네비게이션,1.46
한국,1.44
우선,1.44
